scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,N,m,small_cluster.x,small_cluster.y,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter
61,50,20,0.6931471805599453,0.02,0.00994698245548732,0.0019221556339004,0.0030385619442695,0.00994698245548732,0.01007600897437107,common,-1.9200930639067004,-1.0894340887185665,1000,500,yes,yes,0.9262,0.9496,0.9495,0.9265,0.9262,0.9175,0.9187,0.00631386480546889,0.00225923654299824,3.625721034434253e-4,-0.6922852010757179,0.03082083697036315,0.03067246710952518,10000,10001,1,9.999000099990002e-5,3.199
62,50,20,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,1000,500,yes,yes,0.4643,0.5429,0.5441,0.4625,0.4643,0.4384,0.4407,0.01817931398262283,0.00611812787433951,0.00278331576331163,-0.39831475035905595,0.04157027250294078,0.04144139327301777,10000,10005,5,4.997501249375312e-4,3.3928
63,50,20,0.6931471805599453,0.05,0.02446496330743793,0.0047564018081213,0.00746722907179749,0.02446496330743793,0.02479841432778171,common,-1.9541518011800405,-1.11082484257754,1000,500,yes,yes,0.8424,0.8813,0.8812,0.8407,0.8424,0.827,0.8294,0.01785179929852154,0.00617850863052458,0.00272694124553285,-0.6920036880722753,0.04295225288764107,0.04267947527593339,10000,10002,2,1.999600079984003e-4,3.4022
64,100,20,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,2000,1000,yes,yes,0.8582,0.8974,0.8984,0.8574,0.8582,0.8429,0.8439,0.00331125969338575,0.00112165043702552,1.7480271550939953e-4,-0.40315203802773913,0.01451316962711663,0.01449244226221169,10000,10000,0,0,3.0475
65,100,20,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,2000,1000,yes,yes,0.7844,0.8361,0.8362,0.7833,0.7844,0.7644,0.7657,0.00715443265489837,0.00244166696880408,0.00106159838465415,-0.4028850085513752,0.01836486872341308,0.01830259639164886,10000,10001,1,9.999000099990002e-5,3.1183
66,100,20,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,2000,1000,yes,yes,0.6195,0.6911,0.6907,0.6178,0.6195,0.598,0.5991,0.01917905278287108,0.00628528405607318,0.00352856217427399,-0.40363242899058827,0.02939324116535578,0.02930215535407046,10000,10003,3,2.9991002699190244e-4,3.3651
67,50,50,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,2500,1250,no,no,0.952,0.9521,0.952,0.9444,0.9438,0.9413,0.9412,0.00413170444331051,0.00125190823050673,2.8770465091450124e-4,-0.4060435152994216,0.01148349504548183,0.0114605952645943,10000,10000,0,0,2.5183
68,50,50,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,2500,1250,no,no,0.9217,0.9219,0.9217,0.909,0.9088,0.9053,0.9053,0.00859223550372463,0.00265926475071307,0.00126116287413304,-0.40441878384736185,0.01345997286316225,0.01342732674747919,10000,10000,0,0,2.5605
69,50,50,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,2500,1250,no,no,0.812,0.8135,0.812,0.7908,0.7903,0.7859,0.7858,0.02144193355783786,0.00685320555478861,0.00399588300087286,-0.39927197343024295,0.01912054366196728,0.01906690674068814,10000,10000,0,0,2.7509
70,50,100,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,5000,2500,no,no,0.9979,0.9979,0.9979,0.9978,0.9979,0.9977,0.9977,0.00430636205432877,0.00141736380412832,5.775762370172165e-4,-0.4029860400082582,0.00598267763402363,0.00597664955030312,10000,10000,0,0,2.228
