scena,mean_est_rho11,mean_est_rho12,mean_est_rho22,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH_DE_rho11_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_2,Empirical_adj_sandwich_K_2,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
21,0.02360310126181892,-2.3312555953261703e-4,6.637147624513886e-4,-0.3986418131034767,0.01313571320567594,0.01312740757024574,10000,10000,0,0,2.5824,50,50,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,2500,1250,no,0.7925961331992283,0.8620893900673982,0.9321186056895362,0.9992962298126066,0.9056847544530756,0.9054256764618012,0.917175099713008,0.9992425974384408,0.9136,0.9133,0.9136,0.8995,0.9,0.897,0.8971,0.3951985022726012,0.3951985022726045,0.3951985022725998
22,0.00457452028918289,1.4164706445326898e-5,6.01910244172727e-7,-0.4031212093397367,0.00365946096224098,0.00365894906817077,10000,10000,0,0,2.1582,50,100,0.4054651081081644,0.01,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,U-shape,-0.00100062420303745,0.4064656181389724,0.01639564298304893,5000,2500,no,0.9999824097167452,0.9998295291839066,0.9999988529991224,0.9999999788412528,0.9999940997068985,0.999994013797816,0.999998175242495,0.9999999744288934,1,1,1,1,1,1,1,0.40343268875270105,0.403432688752697,0.4034326887526932
23,0.00933120831098686,-3.5990076323778955e-5,1.8564531509593425e-4,-0.4011737971703453,0.00440681326614419,0.00440560505478187,10000,10000,0,0,2.1724,50,100,0.4054651081081644,0.02,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,U-shape,-0.00201654034472483,0.4074815455394853,0.02201825248151671,5000,2500,no,0.9995205279858566,0.9992523993112956,0.999980199389366,0.9999999738372356,0.9999268975883454,0.9999269295809196,0.999966574601121,0.9999999685120295,0.9998,0.9998,0.9998,0.9997,0.9997,0.9997,0.9997,0.40138997846894753,0.401389978468931,0.40138997846891994
24,0.02436005794536467,-2.3400988409563207e-4,8.014489091385658e-4,-0.3957013529905401,0.00676798355089746,0.00676482974145469,10000,10000,0,0,2.2904,50,100,0.4054651081081644,0.05,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,U-shape,-0.00516061793847246,0.41062565613550583,0.03790449679799111,5000,2500,no,0.9752975980918952,0.9906884205287624,0.9982582879396532,0.999999950629748,0.9962190239032466,0.9961944288095292,0.99721771363931,0.9999999412978996,0.9945,0.9945,0.9945,0.9939,0.9939,0.9938,0.9938,0.3951985022726012,0.3951985022726045,0.3951985022725998
25,1.5835070118292764e-4,3.942901030333317e-4,-1.0233492974465976e-4,-0.3983949878561097,0.04287969067799738,0.04398944015927567,10000,10190,190,0.01864573110893032,13.010703063629222,50,10,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,500,250,yes,0.3182165098063118,0.2971823655050756,0.3668392838104259,0.44111587800487095,0.2205144742469876,0.222692139519883,0.33864580704748426,0.43303613909366995,0.3499,0.5327,0.5293,0.3615,0.3499,0.3026,0.2887,0.40343268875270105,0.4034326887527091,0.40343268875264426
26,2.4852832028050195e-5,6.266793765079447e-4,4.034617290968793e-4,-0.6884023128216556,0.04573558409245101,0.0488696462293143,10000,10609,609,0.05740409086624564,31.124186090402944,50,10,0.6931471805599453,0.01,0.00516193896906859,0.00302430660231293,-0.00200522175118085,0.00516193896906859,0.0049516011079108,bell,-1.9090897753161955,2.602236955952833,0.02503081431855272,500,250,yes,0.719899988376209,0.5477345300036018,0.7917940117132024,0.8723078416623923,0.5076997723911834,0.5109666929084279,0.7225996759390256,0.8472321706356275,0.7118,0.8515,0.8511,0.719,0.7118,0.6616,0.646,0.6896727367230195,0.6896727367230344,0.6896727367229167
27,0.00307539202093843,-6.887391346843414e-4,0.00190446237911715,-0.40464206211391435,0.0496480140743549,0.05012563656173668,10000,10202,202,0.01980003920799843,13.700578828607869,50,10,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,500,250,yes,0.24942049229383567,0.25284696415345387,0.3160450146091195,0.4374985514216795,0.19159217064233833,0.19238158358763977,0.2810091345842324,0.4295662367103571,0.3384,0.5089,0.5042,0.3472,0.3384,0.2942,0.2775,0.40138997846894753,0.40138997846896274,0.4013899784687416
28,0.00256568304429523,-9.68821294224076e-5,0.00202961273918541,-0.6845043840416994,0.05290807287580496,0.05517338635605469,10000,10594,594,0.05606947328676609,34.15399149740198,50,10,0.6931471805599453,0.02,0.01002522917796857,0.00610217972861747,-0.00390786402792745,0.01002522917796857,0.01003712062809937,bell,-1.920092470247648,2.6132396587533884,0.03173287666178384,500,250,yes,0.5926818256813204,0.48876733437532793,0.7151937107449433,0.8690019342324661,0.4387555025803217,0.4386164582365818,0.6190698071405211,0.8439183281068575,0.6638,0.8139,0.812,0.6662,0.6638,0.6047,0.5936,0.6861807004279831,0.6861807004280105,0.6861807004276146
29,0.01157377471657393,-0.00346309862496098,0.0088674224638884,-0.4019144327563564,0.0703166688558852,0.06961926396626102,10000,10222,222,0.02171786343181373,17.824549373040753,50,10,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,500,250,yes,0.1580488276046322,0.17821806762688727,0.22065653866701124,0.4265672183439157,0.1388433403636616,0.13866184520475516,0.1865259418932363,0.4190742817748201,0.2684,0.4285,0.4228,0.2759,0.2684,0.226,0.2161,0.3951985022726012,0.395198502272641,0.3951985022725744
30,0.01094151464702611,-0.00288158043483434,0.00891171204405479,-0.6943570831003947,0.07644948222305452,0.07554265298198136,10000,10516,516,0.04906808672499049,35.21461926998952,50,10,0.6931471805599453,0.05,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,bell,-1.9541511847934945,2.647298388661804,0.04913864398317117,500,250,yes,0.37327778816620005,0.37711007979762434,0.5260447774272023,0.8586224697355792,0.3044387477831071,0.3056001179481693,0.4150531363810958,0.833560394207612,0.5659,0.7273,0.7298,0.57,0.5659,0.5037,0.499,0.6755963019601953,0.6755963019602664,0.6755963019601461
