scena,number_clusters,cluster_sizes,beta_X_list,latent_ICC,ordinal_dist_type,gamma0,gamma1,N,m,rho11,rho22,rho12,bin_rho0,bin_rho01,pi_0,pi_1,pi_2,pi_0_C,pi_1_C,pi_2_C,pi_0_T,pi_1_T,pi_2_T,mean.pi_0,mean.pi_1,mean.pi_2,mean.pi_0_C,mean.pi_1_C,mean.pi_2_C,mean.pi_0_T,mean.pi_1_T,mean.pi_2_T
21,5000,100,0.4054651081081644,0.02,bell,-2.0330240633532446,2.4384893202160653,500000,250000,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,0.10000000942347696,0.7999999943592334,0.09999999621722912,0.11788725842154536,0.7999999922519783,0.08211274932641585,0.08211276042540853,0.7999999964664886,0.1178872431080424,0.09993912,0.8001123,0.09994858,0.11782576,0.80002112,0.08215312,0.08205248,0.80020348,0.11774404
22,5000,100,0.6931471805599453,0.02,bell,-1.920092470247648,2.6132396587533884,500000,250000,0.01002522917796857,0.00610217972861747,-0.00390786402792745,0.01002522917796857,0.01003712062809937,0.09999997993363702,0.8000000408335112,0.09999997923279104,0.1300185712986558,0.8000000406446117,0.06998138805667173,0.06998138856861826,0.8000000410224106,0.13001857040891038,0.10000992,0.7999873200000001,0.10000276,0.13008924,0.79994124,0.06996952,0.0699306,0.8000334,0.13003599999999998
23,5000,100,0.4054651081081644,0.05,bell,-2.0675487904754006,2.4730135119479013,500000,250000,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,0.09999995436158174,0.8000000574776535,0.09999998816074618,0.1176165156872392,0.8000000627886368,0.0823834215241054,0.08238339303592428,0.8000000521666701,0.11761655479738696,0.1000036,0.79996646,0.10002994,0.11777232,0.79983624,0.08239144,0.08223488,0.80009668,0.11766844
24,5000,100,0.6931471805599453,0.05,bell,-1.9541511847934945,2.647298388661804,500000,250000,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,0.099999979204856565,0.8000000436150255,0.09999997718009936,0.12958072535608922,0.8000000430774088,0.07041923156648337,0.07041923305362388,0.8000000441526423,0.12958072279371535,0.10011416,0.7999738,0.09991204,0.12967512,0.79987264,0.07045224,0.0705532,0.80007496,0.12937184
25,5000,100,0.4054651081081644,0.01,high01low2,-0.00100046410680799,2.427333855158212,500000,250000,0.00502474510252918,0.00206801475370146,-0.00261370045053815,0.00502474510252918,0.00504726278088214,0.4500000181684928,0.4500000471764544,0.09999993465503516,0.4997511377161538,0.4182254143849459,0.08202344789888258,0.4002488986208318,0.4817746799679627,0.11797642141118776,0.44996452,0.44995896,0.10007652,0.4998774,0.4180744,0.0820482,0.40005164,0.48184352,0.11810484
26,5000,100,0.6931471805599453,0.01,high01low2,0.13885882507419414,2.602237132346388,500000,250000,0.00508582269028084,0.00216101341133332,-0.00267103299716369,0.00508582269028084,0.0051629261466464,0.4500000079075223,0.450000030770182,0.09999996132226573,0.5344858558177726,0.3956769733853508,0.06983717079685889,0.365514159997272,0.5043230881550133,0.13016275184767254,0.45003424,0.44998296,0.0999828,0.53463724,0.39556776,0.069795,0.36543124,0.50439816,0.1301706
27,5000,100,0.4054651081081644,0.02,high01low2,-0.00201642117527899,2.438489768973289,500000,250000,0.01008923032651422,0.0041820149515966,-0.00526493732032021,0.01008923032651422,0.01019573065276206,0.4500000094212826,0.4500000342015097,0.09999995637714716,0.49950096138530814,0.4183863227712138,0.08211271584341753,0.4004990574572571,0.4816137456318057,0.11788719691087676,0.44994388,0.45003526,0.10002086,0.49948496,0.41841292,0.08210212,0.4004028,0.4816576,0.1179396
28,5000,100,0.6931471805599453,0.02,high01low2,0.13786344978163112,2.6132393309594564,500000,250000,0.01017268278404626,0.00427656610313363,-0.00528823144606432,0.01017268278404626,0.01046507239500912,0.4499999775521645,0.45000001430244785,0.1000000081453271,0.5340666018608055,0.3959519889627401,0.0699814091763939,0.3659333532435235,0.5040480396421556,0.1300186071142603,0.44991094,0.45004144,0.10004762,0.5338452,0.3960968,0.070058,0.36597668,0.50398608,0.13003724
29,5000,100,0.4054651081081644,0.05,high01low2,-0.00516052008161846,2.473013805577957,500000,250000,0.02522682752430476,0.01062768043584715,-0.01337997878193854,0.02522682752430476,0.02470305722772609,0.4500000079088844,0.45000002959909224,0.0999999624920047,0.4987425394523799,0.4188740606588166,0.08238339988878482,0.40125747636538894,0.4811259985393679,0.11761652509522458,0.45031912,0.4498247,0.09985618,0.49926908,0.41856272,0.0821682,0.40136916,0.48108668,0.11754416
30,5000,100,0.6931471805599453,0.05,high01low2,0.13478203235754763,2.6472980195170672,500000,250000,0.02546857076129844,0.0109229307779914,-0.01339738788443477,0.02546857076129844,0.02560825162967206,0.44999999241824007,0.449999998334674,0.10000000924706734,0.5327951677228736,0.39678557715812707,0.07041925511898063,0.3672048171136066,0.5032144195112208,0.12958076337515403,0.44997294,0.44995288,0.10007418,0.53277524,0.39669936,0.0705254,0.36717064,0.5032064,0.12962296
31,5000,100,0.4054651081081644,0.01,U-shape,-0.00100062420303745,0.4064656181389724,500000,250000,0.0048815363639511,1.7552948250895657e-4,-3.332691810448015e-5,0.0048815363639511,0.00490668175856702,0.4499999791375726,0.10000001389003033,0.45000000697237663,0.49975109789272937,0.10000001445520278,0.40024888765204736,0.4002488603824158,0.10000001332485786,0.4997511262927059,0.44977798,0.10004284,0.45017918,0.49947056,0.10003072,0.40049872,0.4000854,0.10005496,0.49985964
32,5000,100,0.6931471805599453,0.01,U-shape,0.1388587612187981,0.5542884200469607,500000,250000,0.0049920897436193596,2.2090683089850488e-4,-6.141969562276627e-5,0.0049920897436193596,0.00499746398308053,0.44999999263603746,0.10000001489670483,0.44999999246723704,0.5344858400095043,0.1000000148907716,0.3655141450997035,0.36551414526257064,0.10000001490263807,0.5344858398347706,0.44995132,0.099958,0.45009068,0.53440236,0.0999832,0.36561444,0.36550028,0.0999328,0.53456692
33,5000,100,0.4054651081081644,0.02,U-shape,-0.00201654034472483,0.4074815455394853,500000,250000,0.00996374812890549,3.9945942042116496e-4,-1.229363695538488e-4,0.00996374812890549,0.00996260330946638,0.44999998051235024,0.10000001400980196,0.4500000054777817,0.4995009318924044,0.10000001451411314,0.40049905359341625,0.40049902913229607,0.10000001350549076,0.4995009573621471,0.45004474,0.10004412,0.44991114,0.49964468,0.10000928,0.40034604,0.4004448,0.10007896,0.49947624
34,5000,100,0.6931471805599453,0.02,U-shape,0.13786350697833163,0.5552836732713435,500000,250000,0.01000141776203714,4.0469891169355246e-4,-7.965573052915489e-5,0.01000141776203714,0.01004392326424172,0.4499999911659131,0.1000000175942578,0.4499999912397626,0.534066615950555,0.10000001759683994,0.3659333664525386,0.3659333663812714,0.10000001759167568,0.5340666160269866,0.44999934,0.10003814,0.44996252,0.53404912,0.10011,0.36584088,0.36594956,0.09996628,0.53408416
35,5000,100,0.4054651081081644,0.05,U-shape,-0.00516061793847246,0.41062565613550583,500000,250000,0.02511275096637279,9.995249076918955e-4,-2.5967119393736e-4,0.02511275096637279,0.02515558256123299,0.4499999845291711,0.10000001423863358,0.45000000123216266,0.4987425156077649,0.10000001457076985,0.4012574698214326,0.4012574534505774,0.10000001390649732,0.49874253264289264,0.4500957,0.09998064,0.44992366,0.49895996,0.09998256,0.40105748,0.40123144,0.09997872,0.49878984
36,5000,100,0.6931471805599453,0.05,U-shape,0.13478203680535236,0.5583651511064808,500000,250000,0.02546531292284136,0.00109880122741345,-3.32303476228942e-4,0.02546531292284136,0.02543717916546447,0.44999999346148023,0.10000001480140384,0.44999999173708255,0.5327951688020071,0.100000014742075,0.36720481645588454,0.36720481812095346,0.10000001486073268,0.5327951670182806,0.4500701,0.0999232,0.4500067,0.53279824,0.099871,0.36733076,0.36734196,0.0999754,0.53268264
