scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
28,50,10,0.6931471805599453,0.02,0.01002522917796857,0.00610217972861747,-0.00390786402792745,0.01002522917796857,0.01003712062809937,bell,-1.920092470247648,2.6132396587533884,0.03173287666178384,500,250,yes
29,50,10,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,500,250,yes
30,50,10,0.6931471805599453,0.05,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,bell,-1.9541511847934945,2.647298388661804,0.04913864398317117,500,250,yes
31,100,10,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,1000,500,yes
32,100,10,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,1000,500,yes
33,100,10,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,1000,500,yes
34,50,20,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,1000,500,yes
35,50,20,0.6931471805599453,0.01,0.00516193896906859,0.00302430660231293,-0.00200522175118085,0.00516193896906859,0.0049516011079108,bell,-1.9090897753161955,2.602236955952833,0.02503081431855272,1000,500,yes
36,50,20,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,1000,500,yes
37,50,20,0.6931471805599453,0.02,0.01002522917796857,0.00610217972861747,-0.00390786402792745,0.01002522917796857,0.01003712062809937,bell,-1.920092470247648,2.6132396587533884,0.03173287666178384,1000,500,yes
38,50,20,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,1000,500,yes
39,50,20,0.6931471805599453,0.05,0.02557796204953965,0.01556801013523883,-0.01012442719958941,0.02557796204953965,0.02536813603390828,bell,-1.9541511847934945,2.647298388661804,0.04913864398317117,1000,500,yes
40,100,20,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,2000,1000,yes
41,100,20,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,2000,1000,yes
42,100,20,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,2000,1000,yes
43,50,50,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,2500,1250,no
44,50,50,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,2500,1250,no
45,50,50,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,2500,1250,no
46,50,100,0.4054651081081644,0.01,0.00523000852019537,0.00295648778159823,-0.00205205060624172,0.00523000852019537,0.00491718431296257,bell,-2.021868429271497,2.427333136978035,0.01260247521888875,5000,2500,no
47,50,100,0.4054651081081644,0.02,0.00994110398434295,0.00575645947818196,-0.00386386316559101,0.00994110398434295,0.00978046828205837,bell,-2.0330240633532446,2.4384893202160653,0.01933118140412299,5000,2500,no
48,50,100,0.4054651081081644,0.05,0.02517196808927447,0.01507740076161847,-0.00989034299234139,0.02517196808927447,0.02525763051744933,bell,-2.0675487904754006,2.4730135119479013,0.03952168639903645,5000,2500,no
49,50,10,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,500,250,yes
50,50,10,0.6931471805599453,0.01,0.00503839344489988,9.3681459391213e-4,0.00144157599949555,0.00503839344489988,0.00496452367338316,common,-1.9090894474606124,-1.0825242355095177,0.02401909970344155,500,250,yes
51,50,10,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,500,250,yes
52,50,10,0.6931471805599453,0.02,0.00994698245548732,0.0019221556339004,0.0030385619442695,0.00994698245548732,0.01007600897437107,common,-1.9200930639067004,-1.0894340887185665,0.02793907985829265,500,250,yes
53,50,10,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,500,250,yes
54,50,10,0.6931471805599453,0.05,0.02446496330743793,0.0047564018081213,0.00746722907179749,0.02446496330743793,0.02479841432778171,common,-1.9541518011800405,-1.11082484257754,0.0442964579039669,500,250,yes
