scena,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho22,rho12,bin_rho0,bin_rho01,ordinal_dist_type,gamma0,gamma1,mean_rank_icc,N,m,small_cluster
55,100,10,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,1000,500,yes
56,100,10,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,1000,500,yes
57,100,10,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,1000,500,yes
58,50,20,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,1000,500,yes
59,50,20,0.6931471805599453,0.01,0.00503839344489988,9.3681459391213e-4,0.00144157599949555,0.00503839344489988,0.00496452367338316,common,-1.9090894474606124,-1.0825242355095177,0.02401909970344155,1000,500,yes
60,50,20,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,1000,500,yes
61,50,20,0.6931471805599453,0.02,0.00994698245548732,0.0019221556339004,0.0030385619442695,0.00994698245548732,0.01007600897437107,common,-1.9200930639067004,-1.0894340887185665,0.02793907985829265,1000,500,yes
62,50,20,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,1000,500,yes
63,50,20,0.6931471805599453,0.05,0.02446496330743793,0.0047564018081213,0.00746722907179749,0.02446496330743793,0.02479841432778171,common,-1.9541518011800405,-1.11082484257754,0.0442964579039669,1000,500,yes
64,100,20,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,2000,1000,yes
65,100,20,0.4054651081081644,0.02,0.00974822969772573,0.00185348504075634,0.00296299014803118,0.00974822969772573,0.00986127447943029,common,-2.0330251341903427,-1.2098394065121356,0.01739181767323472,2000,1000,yes
66,100,20,0.4054651081081644,0.05,0.02509332129102622,0.00471865750101695,0.00747158799847797,0.02509332129102622,0.02515097742429944,common,-2.067549125977829,-1.23159059181798,0.03414358076121956,2000,1000,yes
67,50,50,0.4054651081081644,0.01,0.00513845085351359,9.292716192353716e-4,0.00150169088580933,0.00513845085351359,0.00509082897481606,common,-2.0218688899017336,-1.2028110335878195,0.01291175527962738,2500,1250,no
