scena,mean_est_beta_treat,mean_var_beta_treat,mean_sandwich_var_beta_treat,n_success,n_tried,n_bad,fail_rate,count_iter,mean_est_rho_1_1,mean_est_rho_1_2,mean_est_rho_2_2,mean_est_rho_1_3,mean_est_rho_2_3,mean_est_rho_3_3,cluster_sizes,number_clusters,beta_X_list,latent_ICC,rho11,rho12,rho22,bin_rho0,bin_rho01,mean_rank_icc,ordinal_dist_type,N,m,gamma0,gamma1,gamma2,small_cluster,WH_DE_latent_icc,WH_DE_rank_icc,WH,GEE_bin1,GEE_bin2,GEE_exch,GEE_indep,Empirical,Empirical_noadj_model_based,Empirical_noadj_sandwich,Empirical_adj_model_based_K_ncat,Empirical_adj_sandwich_K_ncat,marginal_lor_by_bridge,theta_R_bin,theta_R_bin2
25,-0.3992713717818167,0.02390470305654553,0.02492195181445178,10000,10267,267,0.02600564916723483,22.315511680187665,0.00172306128391725,7.6518116842315e-4,-3.6994840653006465e-4,-0.00105782331966231,9.389606592899456e-4,-0.0012776688466128,50,10,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,500,250,-2.021868458385526,1.0624921415811426,2.427333182860899,yes,0.45818406510477444,0.401939418808264,0.6178263035191618,0.22265046998240218,0.44914581724071656,0.4945113663162464,0.6127452471123169,0.4067,0.7021,0.699,0.4205,0.4067,0.40343268875270105,0.40343268875270866,0.4034326887526869
26,-0.4065513299806699,0.02853892513678598,0.02990204018966541,10000,10276,276,0.02685869988322304,22.898230521067553,0.00515158406469728,0.0013678022469739,0.00187167965940454,-0.002973599694402,2.5076795049682995e-4,2.6480528165063945e-4,50,10,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,500,250,-2.033023753051062,1.0667846664317633,2.438490454034623,yes,0.359808072635192,0.34048448893230626,0.6134548538943779,0.19136671550683576,0.38685072790931274,0.41341300496699607,0.6084514681456075,0.376,0.6676,0.6662,0.3914,0.376,0.40138997846894753,0.40138997846896274,0.40138997846889535
27,-0.40447972077659605,0.04263568889063226,0.04406778763248827,10000,10273,273,0.02657451572082157,21.488862722009618,0.01646625506523152,0.00205007415503473,0.00765869760210783,-0.00840149203780819,-0.00196286837586219,0.00413891721533247,50,10,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,500,250,-2.067548284392464,1.080067558522768,2.473014182070595,yes,0.22189523135674627,0.24643936365480387,0.6001188688420747,0.14037381764273685,0.26926097041991076,0.27673505922668495,0.5953516861445742,0.2851,0.5715,0.5672,0.3024,0.2851,0.39519850227260117,0.395198502272641,0.3951985022725951
28,-0.40750251358230455,0.01566728115065944,0.01581896835979486,10000,10004,4,3.9984006397441024e-4,4.424930027988805,0.0025299770443984,5.264237760444903e-4,7.352058084024521e-4,-0.00143372812643247,1.9383887953695837e-4,-4.2321490675667656e-5,50,20,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,1000,500,-2.021868458385526,1.0624921415811426,2.427333182860899,yes,0.7464428053403296,0.6774756897987125,0.8923244143345177,0.394508788722111,0.7360056513113931,0.7859322821226298,0.8881958791871629,0.7795,0.8619,0.862,0.7795,0.7795,0.40343268875270105,0.40343268875270866,0.4034326887526869
29,-0.4063197288227352,0.01874224142888653,0.018852798803465,10000,10006,6,5.996402158704777e-4,4.5469812075169935,0.00676898879882587,6.434380364222715e-4,0.00309906729507183,-0.00328232436765752,-5.77416291328854e-4,0.00126961451959623,50,20,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,1000,500,-2.033023753051062,1.0667846664317633,2.438490454034623,yes,0.6195049241976581,0.5911103579072563,0.8892949930128305,0.3363000403923067,0.6573367528585625,0.6923246120821732,0.8851546254586833,0.7143,0.8143,0.8143,0.7129,0.7143,0.40138997846894753,0.40138997846896274,0.40138997846889535
30,-0.405564771942449,0.02867303176388019,0.02863810329117686,10000,10003,3,2.9991002699190244e-4,4.749850029994001,0.01999275987947343,0.00114270088472964,0.01014770339749494,-0.00926718507530163,-0.00263950838348677,0.00531154607469707,50,20,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,1000,500,-2.067548284392464,1.080067558522768,2.473014182070595,yes,0.3931291385979424,0.43725383332009,0.879741015325653,0.23774173895612621,0.47688710946980456,0.48955910874225916,0.8755737035776286,0.5607,0.6757,0.6787,0.5589,0.5607,0.39519850227260117,0.395198502272641,0.3951985022725951
31,-0.4040212555589167,0.007331057166042,0.00731696117252168,10000,10000,0,0,2.9308,0.00366509022190553,3.702747140726189e-4,0.00158266389628568,-0.00172140290830873,-4.366189329610857e-4,8.113912794907298e-4,50,50,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,2500,1250,-2.021868458385526,1.0624921415811426,2.427333182860899,no,0.9856593683795312,0.9690746990884361,0.9990358263887638,0.7629795260747002,0.9836942972963052,0.9916189304999149,0.9989052295779486,0.9912,0.9909,0.9912,0.988,0.9881,0.40343268875270105,0.40343268875270866,0.4034326887526869
32,-0.402938090185778,0.00895386262562984,0.00891308911076015,10000,10000,0,0,3.0622,0.00873298291422223,4.1417639367802354e-4,0.00406284350656304,-0.00393330594044967,-0.00105289899093016,0.00217310548062786,50,50,0.4054651081081644,0.02,0.00998729803154895,3.3391268353117346e-4,0.00460291914857808,0.00998729803154895,0.00999310978683011,0.02379600440802583,bell2,2500,1250,-2.033023753051062,1.0667846664317633,2.438490454034623,no,0.9473799143866779,0.9336203067285713,0.998948989575884,0.681126063435718,0.9624372403403074,0.9734099093730091,0.9988100413884042,0.9778,0.9777,0.9778,0.9703,0.9705,0.40138997846894753,0.40138997846896274,0.40138997846889535
33,-0.39915312240819995,0.01370812094327953,0.01360645353386936,10000,10000,0,0,3.4338,0.02225765498184401,0.00110419613308842,0.01090455225404156,-0.0100241994975248,-0.00347232494280608,0.00640617885582892,50,50,0.4054651081081644,0.05,0.0244621688097356,8.43883142633667e-4,0.0118063089985665,0.0244621688097356,0.02518431299860517,0.04290162289644682,bell2,2500,1250,-2.067548284392464,1.080067558522768,2.473014182070595,no,0.7612253259971797,0.8130772671492432,0.9986401170844976,0.5042818891670855,0.8525322734347582,0.8638160351180948,0.9984731844329003,0.9015,0.9016,0.9015,0.8814,0.8821,0.39519850227260117,0.395198502272641,0.3951985022725951
34,-0.404571575064325,0.00391204869784523,0.00389780516138205,10000,10000,0,0,2.5286,0.00440518761641381,2.917727407889101e-4,0.00200189188155835,-0.00201463819406446,-5.642175893882207e-4,0.00114235975304186,50,100,0.4054651081081644,0.01,0.00492309148804476,2.2981280139193664e-4,0.00239184575521051,0.00492309148804476,0.00517828249506763,0.0161558746054162,bell2,5000,2500,-2.021868458385526,1.0624921415811426,2.427333182860899,no,0.9999530655540844,0.9997224938731567,0.9999998997233458,0.9659471621501622,0.9999369067409044,0.9999863249932258,0.9999998654677736,1,1,1,1,1,0.40343268875270105,0.40343268875270866,0.4034326887526869
